#GPCCHS 2.0.0.2 15/05/2018 etat-fa.txt


FT en cours de traitement :
===========================
# ref_client | etat | date_emission | auteur | titre | gravite | contournement
ISIS-FT-1471|En attente|2016-01-26 09:23:59||Le domain ID associ? aux param?tres TM contenu dans le message MAL est incorrect|None|None
ISIS-FT-1477|En D?veloppement|2016-02-03 17:06:16||[FA SGC ASTEK][Contr?le SGC V 0.1.1][DT 20063]|None|None
ISIS-FT-1483|En attente|2016-02-02 08:36:31||Pb perfo VIMA au bout de quelques minutes de r?ception de TM|P|None
ISIS-FT-1515|En attente|2016-02-16 12:20:40||Sur VIMA, les vues HistoryView ne centre pas l'affichage sur la derni?re occurence re?ue du param?tre|D|None
ISIS-FT-1579|En attente|2016-04-01 10:56:10||Le nom des bundles pus011Editor et pus013Editor dans la feature gpvima_e_app-with-PUS.xml contiennent des erreurs|D|None
ISIS-FT-1653|En attente|2016-04-22 08:01:03||VIMA : les param?tres de type date sont affich?es avec une epoch au 1er jan 1970|D|None
ISIS-FT-1657|En attente|2016-04-22 08:01:03||plantage VIMA sur manipulation des vues de l'IHM|D|None
ISIS-FT-1947|En attente|2017-03-21 17:15:17||SDB lite VIMA JS|None|None
ISIS-FT-1951|En attente|2017-03-21 17:15:18||champ session TBD VIMA JS|None|None
ISIS-FT-1971|En attente|2017-03-23 07:58:39||d?marrage VIMA JS|None|None
ISIS-FT-2031|En attente|2017-03-28 16:24:40||inspector View VIMA Qt|None|None
ISIS-FT-2034|En attente|2017-03-28 16:24:40||packetView VIMA Qt|None|None
ISIS-FT-2037|En attente|2017-03-28 16:24:40||ground alarm view VIMA Qt|None|None
ISIS-FT-2229|En attente|2017-10-10 15:36:03||affichage param?tres TM dans VIMA|P|None
ISIS-FT-2237|En Validation|2017-10-10 15:36:03||autocompl?tion pour aide au chargement des entrypoints VIMA|N|None
ISIS-FT-2247|En attente|2017-10-10 15:36:03||filters sur param?tres TM VIMA|D|None
ISIS-FT-2250|En Validation|2017-10-10 15:36:03||filters sur fileds param?tres TM VIMA|N|None
ISIS-FT-2251|En Validation|2017-10-10 15:36:03||filters sur date fileds param?tres TM VIMA|N|None
ISIS-FT-2253|En attente|2017-10-10 15:36:03||timeSetter timeBar VIMA|P|None
ISIS-FT-2270|En attente|2017-10-11 16:40:04||logs VIMA|N|None
ISIS-FT-2394|Pre Analyse|2017-10-20 07:23:55||autoscale plot VIMA|D|None
ISIS-FT-2415|En Livraison|2017-10-24 14:14:06||relecture SVaP GPVI|None|None
ISIS-FT-2454|En attente|2017-11-07 16:32:33||Perte de la dynamicView en cours d'utilisation et impossibilit? d'en ouvrir une nouvelle|D|None
ISIS-FT-2609|En attente|2017-11-28 09:50:01||Vima Qt : les IHM PUS deviennent quasi-inutilisables au bout de quelques heures|D|None
ISIS-FT-2630|En attente|2017-11-29 07:56:55||Erreur lors de l'installation du patch 1.1.2.7|P|None
ISIS-FT-2692|En Analyse|2017-12-07 15:20:04||probl?mes param?tres en-t?te paquets VIMA JS|D|None
ISIS-FT-2696|Ouvert|2017-12-07 15:20:05||Documentation TL d?ploy?e sur desktopx01 non acessible|D|Oui
ISIS-FT-2702|En attente|2017-12-13 15:48:15||Robustesse : d?gradation au bout de 20h de r?ception TM environ|D|None
ISIS-FT-2706|En attente|2017-12-13 15:48:15||Vima Qt : crash syst?matique ? ouverture de la PUS MME|D|None
ISIS-FT-2797|En attente|2018-01-17 10:49:13||contenu dynamicView PUS 11.10 incorrect|P|None
ISIS-FT-2820|En attente|2018-01-24 13:43:51||probl?me affichage param?tres TM VIMA si d?calage temps bord/sol|D|None
ISIS-FT-2821|En attente|2018-01-24 13:43:51||probl?me timeBar VIMA|D|None
ISIS-FT-2912|En attente|2018-02-16 15:29:26||mise ? jour de textViews VIMA et checkTM|D|None
ISIS-FT-2949|En Validation|2018-03-06 14:24:13||dates affich?es dans decommutedPacket|D|None
ISIS-FT-2950|Pre Analyse|2018-03-06 14:24:13||affichage complet queries VIMA|D|None
ISIS-FT-2959|Ouvert|2018-03-06 14:24:13||wildcard dans timeLine ep VIMA|D|None
ISIS-FT-3054|Ouvert|2018-04-24 14:45:39||documentation wiki GPVI|None|None
ISIS-FT-3058|En attente|2018-04-26 07:21:11||wiki TMTC conf simulateur config_sle.gcp|None|None
ISIS-FT-3062|Ouvert|2018-04-27 12:15:53||info date tooltip plot format incorrect|N|None
ISIS-FT-3064|Pre Analyse|2018-04-27 12:15:53||conf GPCCHS state color non prise en compte|D|None
ISIS-FT-3065|Ouvert|2018-04-27 12:15:53||state colors non d?activables|D|None
ISIS-FT-3066|Ouvert|2018-04-27 12:15:53||optional color non disponible|D|None
ISIS-FT-3067|Ouvert|2018-04-27 12:15:53||change color non op?rationnel|D|None
ISIS-FT-3068|Ouvert|2018-04-27 12:15:53||mode realTime TimeBar divergence temporelle|D|None
ISIS-FT-3069|En attente|2018-04-27 12:15:53||unit? SDB non r?cup?r?e VIMA|D|None
ISIS-FT-3070|En attente|2018-04-27 12:15:53||conversion unit? editeur|D|None
ISIS-FT-3071|Ouvert|2018-04-27 12:15:53||perfo conversion unit?|D|None
ISIS-FT-3072|En attente|2018-04-27 12:15:53||conversion voltage non fonctionnelle|D|None
ISIS-FT-3073|Ouvert|2018-04-27 12:15:53||log GPCCHS|D|None
ISIS-FT-3076|En attente|2018-04-27 12:15:53||wildcard session non g?r?|D|None
ISIS-FT-3083|Ouvert|2018-04-27 12:15:53||test GPVI decommutedPacket incomplet|None|None
ISIS-FT-3086|Ouvert|2018-05-02 07:51:33||editeur dynamicView bug|D|None
ISIS-FT-3088|Ouvert|2018-05-02 07:51:34||ordre des champ decommutedPacket dynamicView|N|None
ISIS-FT-3089|Ouvert|2018-05-02 07:51:34||affichage des decommutedPackets 11_10 et 14_4 impossible|D|None
ISIS-FT-3092|Ouvert|2018-05-02 07:51:34||links dans dynamicViews|D|None
ISIS-FT-3095|Ouvert|2018-05-02 07:51:34||test on-board alarm incomplet|None|None
ISIS-FT-3096|Ouvert|2018-05-02 07:51:34||ergonomie on board alarm view|None|None
ISIS-FT-3101|Ouvert|2018-04-30 13:17:57||on board alarms non visibles OBA view VIMA|None|None
ISIS-FT-3103|En attente|2018-05-02 07:51:34||IHM lanc?es dans session system|D|None
ISIS-FT-3104|Ouvert|2018-05-02 07:51:34||filtrage provider TM VIMA|D|None
ISIS-FT-3105|En attente|2018-05-02 07:51:34||filtrage provider TM VIMA comboBox|D|None
ISIS-FT-3106|Ouvert|2018-05-02 07:51:34||champs filtrage domain/timeline VIMA|D|None
ISIS-FT-3107|Ouvert|2018-05-02 07:51:34||perfo VIMA et TBD pour param?tres d'en-t?te|P|None
ISIS-FT-3108|Ouvert|2018-05-02 07:51:34||filter sub-data entryPoint VIMA|D|None
